Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,185.429993,188.490005,182.259995,183.600006,177.754654,1910200
2018-10-12,188.580002,189.850006,185.720001,189.259995,183.234406,1150400
2018-10-15,188.809998,189.139999,186.259995,186.550003,180.610718,655100
2018-10-16,188.880005,192.940002,188.500000,192.350006,186.226074,682900
2018-10-17,192.830002,192.830002,190.000000,191.669998,185.567673,566100
2018-10-18,190.809998,190.809998,186.669998,187.800003,181.820908,1090500
2018-10-19,188.800003,190.589996,186.660004,187.259995,181.298096,503800
2018-10-22,188.039993,189.910004,186.929993,188.779999,182.769684,752600
2018-10-23,185.139999,189.080002,183.020004,188.070007,182.082321,890000
2018-10-24,187.710007,188.070007,179.419998,179.630005,173.911011,990800
2018-10-25,182.029999,186.330002,181.710007,185.399994,179.497314,1115800
2018-10-26,180.929993,184.929993,178.960007,181.679993,175.895721,864100
2018-10-29,184.320007,185.479996,175.119995,178.679993,172.991272,973800
2018-10-30,178.160004,181.179993,177.410004,180.970001,175.208374,904100
2018-10-31,183.580002,186.850006,183.220001,185.389999,179.487640,680000
2018-11-01,185.809998,188.059998,184.270004,187.929993,181.946777,686900
2018-11-02,186.710007,187.759995,183.050003,184.509995,178.635666,641800
2018-11-05,184.350006,184.350006,181.509995,184.070007,178.209656,507400
2018-11-06,183.889999,186.000000,183.550003,185.190002,179.293991,522700
2018-11-07,187.169998,190.580002,187.000000,190.500000,184.434967,617700
2018-11-08,189.839996,190.639999,189.009995,190.149994,184.096100,480900
2018-11-09,188.389999,188.750000,185.190002,186.869995,180.920517,463200
2018-11-12,185.250000,185.550003,179.960007,180.440002,174.695251,589300
2018-11-13,180.710007,183.580002,180.039993,180.520004,174.772690,802400
2018-11-14,182.419998,182.979996,177.630005,178.559998,172.875092,2561200
2018-11-15,178.800003,183.410004,177.789993,183.029999,177.202774,2085500
2018-11-16,180.979996,183.690002,180.690002,182.770004,176.951065,522100
2018-11-19,181.720001,182.000000,175.100006,175.570007,169.980286,761800
2018-11-20,170.759995,174.330002,169.679993,172.000000,166.523941,1628000
2018-11-21,174.570007,175.039993,172.669998,173.449997,167.927765,540300
2018-11-23,171.740005,173.899994,171.410004,172.289993,166.804718,208300
2018-11-26,174.399994,176.070007,173.610001,176.029999,170.425598,555400
2018-11-27,174.869995,176.559998,173.860001,176.169998,170.561172,438700
2018-11-28,177.619995,182.350006,177.130005,182.320007,176.515381,611800
2018-11-29,181.860001,182.229996,179.809998,180.880005,175.121231,485300
2018-11-30,181.229996,182.779999,180.300003,182.669998,176.854233,425000
2018-12-03,187.149994,187.520004,184.529999,186.520004,180.581680,1336200
2018-12-04,185.309998,185.449997,179.070007,179.350006,173.639923,691000
2018-12-06,175.440002,179.889999,174.550003,179.889999,174.162735,919700
2018-12-07,179.199997,179.990005,172.860001,173.669998,168.140778,735300
2018-12-10,172.899994,176.610001,171.899994,175.970001,170.367538,860100
2018-12-11,178.729996,178.970001,174.729996,176.050003,170.445007,859800
2018-12-12,178.860001,180.369995,177.600006,177.630005,171.974716,605100
2018-12-13,178.020004,178.860001,176.080002,177.000000,171.985382,476800
2018-12-14,174.910004,175.910004,172.619995,172.869995,167.972382,678800
2018-12-17,172.270004,173.190002,167.610001,168.869995,164.085739,3788100
2018-12-18,170.250000,171.750000,168.910004,170.279999,165.455780,969500
2018-12-19,170.220001,173.000000,165.289993,166.820007,162.093826,1194200
2018-12-20,166.220001,167.820007,161.550003,163.970001,159.324539,1619200
2018-12-21,163.429993,165.649994,158.139999,158.899994,154.398163,1495600
2018-12-24,157.410004,159.250000,154.720001,154.809998,150.424057,1099800
2018-12-26,155.940002,164.160004,155.100006,164.160004,159.509171,1532400
2018-12-27,161.979996,165.509995,159.029999,165.509995,160.820923,1026200
2018-12-28,166.529999,167.929993,163.789993,165.169998,160.490540,1232600
2018-12-31,166.610001,167.330002,165.410004,166.830002,162.103516,965900
2019-01-02,163.550003,167.770004,163.339996,166.929993,162.200668,861200
2019-01-03,162.740005,163.020004,158.500000,158.679993,154.184387,705100
2019-01-04,161.539993,166.350006,161.070007,165.580002,160.888931,731900
2019-01-07,165.869995,168.529999,165.500000,167.429993,162.686493,1108000
2019-01-08,169.070007,169.690002,166.940002,169.039993,164.250916,4256000
2019-01-09,169.910004,172.029999,169.729996,171.149994,166.301117,796200
2019-01-10,170.000000,172.050003,169.139999,171.949997,167.078461,402800
2019-01-11,171.080002,172.000000,170.740005,171.850006,166.981323,391300
2019-01-14,170.259995,170.710007,169.559998,170.149994,165.329468,550800
2019-01-15,170.470001,172.960007,170.449997,172.660004,167.768341,436500
2019-01-16,172.940002,173.949997,172.300003,172.839996,167.943253,3646600
2019-01-17,172.210007,175.050003,171.899994,174.160004,169.225845,582600
2019-01-18,175.669998,177.199997,174.669998,176.750000,171.742447,628300
2019-01-22,175.449997,175.710007,172.500000,173.839996,168.914917,1039500
2019-01-23,174.520004,175.850006,172.429993,174.250000,169.313324,501500
2019-01-24,174.839996,176.470001,174.839996,176.039993,171.052597,581600
2019-01-25,177.350006,179.199997,176.779999,178.770004,173.705261,633000
2019-01-28,176.300003,176.589996,175.100006,176.539993,171.538422,564300
2019-01-29,176.759995,176.869995,174.429993,174.770004,169.818604,535100
2019-01-30,177.399994,180.259995,176.470001,179.789993,174.696350,851900
2019-01-31,179.190002,181.149994,178.729996,180.160004,175.055878,640600
2019-02-01,180.369995,182.139999,180.160004,181.380005,176.241318,515600
2019-02-04,181.639999,184.229996,181.589996,184.229996,179.010559,436800
2019-02-05,184.699997,186.149994,184.600006,185.750000,180.487503,532300
2019-02-06,185.960007,186.860001,185.169998,186.399994,181.119095,411900
2019-02-07,184.720001,185.449997,182.679993,183.880005,178.670486,514600
2019-02-08,182.300003,185.070007,182.179993,185.070007,179.826782,451400
2019-02-11,185.820007,186.660004,184.750000,185.169998,179.923904,380600
2019-02-12,186.419998,187.839996,186.240005,187.679993,182.362823,580000
2019-02-13,188.570007,189.179993,187.740005,187.970001,182.644623,411200
2019-02-14,187.389999,189.050003,187.119995,188.410004,183.072144,404900
2019-02-15,189.929993,190.000000,188.759995,189.850006,184.471344,389700
2019-02-19,189.419998,190.550003,189.190002,190.000000,184.617081,654800
2019-02-20,190.160004,190.979996,189.320007,190.270004,184.879425,1070500
