Date,Open,High,Low,Close,Adj Close,Volume
2018-10-11,27.049999,27.219999,26.320000,26.400000,24.741402,178628200
2018-10-12,26.879999,26.920000,26.030001,26.430000,24.769518,137933000
2018-10-15,26.440001,26.629999,26.309999,26.309999,24.657057,82196400
2018-10-16,26.490000,26.770000,26.309999,26.750000,25.069412,75137300
2018-10-17,26.690001,27.190001,26.559999,27.020000,25.322453,79472100
2018-10-18,26.870001,27.070000,26.490000,26.570000,24.900721,81706000
2018-10-19,26.549999,26.879999,26.420000,26.670000,24.994440,73614300
2018-10-22,26.700001,26.760000,26.100000,26.100000,24.460249,58645800
2018-10-23,25.570000,26.040001,25.420000,25.889999,24.263443,93698200
2018-10-24,25.850000,25.850000,25.139999,25.240000,23.654276,98050700
2018-10-25,25.360001,25.840000,25.330000,25.629999,24.019775,72439400
2018-10-26,25.320000,25.520000,25.020000,25.260000,23.673023,115308900
2018-10-29,25.570000,25.930000,25.209999,25.480000,23.879200,97946100
2018-10-30,25.620001,25.940001,25.440001,25.920000,24.291557,82719100
2018-10-31,26.170000,26.610001,26.129999,26.280001,24.628942,93781100
2018-11-01,26.350000,26.510000,26.219999,26.400000,24.741402,62346600
2018-11-02,26.660000,26.809999,26.180000,26.379999,24.722658,73034200
2018-11-05,26.490000,26.879999,26.490000,26.799999,25.116272,58705800
2018-11-06,26.780001,26.940001,26.650000,26.940001,25.247477,51010900
2018-11-07,27.090000,27.320000,26.820000,27.290001,25.575489,59990800
2018-11-08,27.129999,27.520000,27.040001,27.370001,25.650461,46730100
2018-11-09,27.299999,27.379999,26.980000,27.120001,25.416168,47051200
2018-11-12,27.059999,27.180000,26.530001,26.580000,24.910091,47135500
2018-11-13,26.620001,26.990000,26.600000,26.730000,25.050669,69820600
2018-11-14,26.940001,26.980000,26.080000,26.370001,24.713289,104274200
2018-11-15,26.190001,26.780001,26.030001,26.760000,25.078783,93998000
2018-11-16,26.620001,26.910000,26.469999,26.790001,25.106901,80518300
2018-11-19,26.770000,26.900000,26.540001,26.780001,25.097527,65491300
2018-11-20,26.469999,26.580000,26.110001,26.190001,24.544592,103778300
2018-11-21,26.340000,26.590000,26.129999,26.209999,24.563341,48618000
2018-11-23,26.070000,26.219999,25.930000,26.000000,24.366531,24252300
2018-11-26,26.270000,26.629999,26.260000,26.530001,24.863235,50168800
2018-11-27,26.480000,26.629999,26.420000,26.549999,24.881977,47174300
2018-11-28,26.629999,27.059999,26.400000,27.059999,25.359938,61375300
2018-11-29,26.860001,27.010000,26.719999,26.830000,25.144390,43664100
2018-11-30,26.750000,27.080000,26.709999,26.969999,25.275591,45435200
2018-12-03,27.360001,27.469999,26.950001,27.139999,25.434910,65332700
2018-12-04,27.000000,27.010000,25.830000,25.959999,24.329042,110918600
2018-12-06,25.379999,25.610001,24.930000,25.600000,23.991665,134687100
2018-12-07,25.540001,25.900000,24.990000,25.110001,23.532448,86740000
2018-12-10,25.010000,25.080000,24.299999,24.760000,23.204435,101121800
2018-12-11,25.070000,25.219999,24.430000,24.520000,22.979515,92308200
2018-12-12,24.860001,25.020000,24.540001,24.660000,23.110722,86748900
2018-12-13,24.650000,24.780001,24.389999,24.480000,22.942030,67232900
